paired methods,original p,adjusted p (Holm-Bonferroni),Cliff's delta,effect size (delta),Wilcoxon r, effect size (r)
FPDT-TCP vs FPDT-TCP-C2FP,4.71E-11,1.4141E-10,-0.75,large,-0.77509566,large
FPDT-TCP vs FPDT-TCP-ITF,0.004687493,0.004687493,-0.345454545,medium,-0.375169377,medium
FPDT-TCP vs FPDT-TCP-QS,1.49E-06,2.9735E-06,-0.807692308,large,-0.655211652,large
