fileName,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
TTL_1_2,0.006261704,0.0062409013,0.006240901,0.046328295,0.04724366
TTL_1_3,0.003992399,0.003992399,0.003992399,0.008026366,0.044228306499999995
TTL_1_4,0.026253322,0.026294926,0.026315733,0.066153455,0.04909503
TTL_2_3,0.02233498,0.02233498,0.0223154585,0.063646925,0.0467395
TTL_2_4,0.0037723517,0.0037723517,0.0037723517,0.0037334617,0.0031501083
TTL_3_4,0.027454055499999998,0.027454055499999998,0.027518554,0.06729151,0.0475555535
