fileName,NOP,TMP,TCM,GAP,ARP,FPP,TCM-QS,MTK,MTK-QS,FPDT-TCP,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
TTL_1_2,0.99954253,0.22760373,0.49737386,0.44836116,0.437755495,0.003224798,0.082295702,0.075119648,0.050467798,0.046328295,0.006261704,0.006240901,0.006240901,0.046328295,0.04724366
TTL_1_3,0.9995427,0.89918005,0.9089077,0.5308859,0.53884274,0.003224798,0.295648665,0.01118699,0.043666765,0.008026366,0.003992399,0.003992399,0.003992399,0.008026366,0.044228306
TTL_1_4,0.99954253,0.34728261,0.621627715,0.5922628,0.5315908,0.003224798,0.11391459,0.908536,0.2741625,0.066153455,0.026253322,0.026294926,0.026315733,0.066153455,0.04909503
TTL_2_3,0.9994535,0.094531484,0.094882764,0.6123805,0.620153485,0.106168695,0.07633506,0.296970845,0.037641524,0.063646925,0.02233498,0.02233498,0.022315459,0.063646925,0.0467395
TTL_2_4,0.9994168,0.34499708,0.34103096,0.56517196,0.54382414,0.9026822,0.527483965,0.8539916,0.003908457,0.003733462,0.003772352,0.003772352,0.003772352,0.003733462,0.003150108
TTL_3_4,0.9995702,0.35090044,0.34470797,0.56343204,0.5070855,0.34028077,0.10306315,0.886947175,0.063872903,0.06729151,0.027454055,0.027454055,0.027518554,0.06729151,0.047555554
median,0.99954253,0.346139845,0.421040915,0.564302,0.53521677,0.054696747,0.10848887,0.575481223,0.047067282,0.05498761,0.014298342,0.014287941,0.01427818,0.05498761,0.04699158
