fileName,FPDT-TCP-QS,FPDT-TCP
TTL_1_2,0.019613594,0.015285072
TTL_1_5,0.018353459500000002,0.0141603415
TTL_1_6,0.077495023,0.0505676365
TTL_1_7,0.052188535,0.030806728999999998
TTL_1_8,0.082995175,0.052680870500000004
TTL_2_5,0.10136677,0.10136677
TTL_2_6,0.12442925,0.12442925
TTL_2_7,0.12585814,0.12471398
TTL_2_8,0.12471399,0.12471399
TTL_5_6,0.022405706,0.020368824
TTL_5_7,0.047460726499999994,0.030477492
TTL_5_8,0.046572002,0.0328985425
TTL_6_7,0.0026190863,0.001940064
TTL_6_8,0.0064496407,0.004577166
TTL_7_8,0.0,0.0
