fileName,FPDT-TCP-QS,FPDT-TCP
TTL_1_2,0.3464286,0.3464286
TTL_1_3,0.39393944,0.3636364
TTL_1_7,0.410569,0.39430884
TTL_1_8,0.67886156,0.6626015
TTL_2_3,0.45486122,0.45486122
TTL_2_7,0.4104478,0.39552245
TTL_2_8,0.42910454,0.4514926
TTL_3_7,0.08636361,0.08636361
TTL_3_8,0.54999983,0.5545453
TTL_7_8,0.37853098,0.37853098
