fileName,NOP,TMP,TCM,GAP,ARP,FPP,TCM-QS,MTK,MTK-QS,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
APFD_1_2,0.43464,0.94256,0.94141,0.77997,0.76354,0.99988,0.97642,0.91984,0.9945,0.997541165,0.99751695,0.997547225,0.99731106,0.996220925
APFD_1_3,0.39914,0.89944,0.88996,0.78931,0.76143,0.99988,0.94374,0.99211,0.99891,0.99923161,0.99921346,0.99929816,0.99929816,0.999322355
APFD_1_4,0.58399,0.90959,0.91025,0.84241,0.85286,0.99988,0.96708,0.88915,0.99096,0.99491277,0.99481587,0.99476745,0.99503389,0.99493705
APFD_2_3,0.51686,0.97016,0.96763,0.78773,0.78338,0.95407,0.98232,0.91407,0.99499,0.99723023,0.99723023,0.99742293,0.9969412,0.996604025
APFD_2_4,0.63831,0.93248,0.93753,0.82473,0.83681,0.8999,0.92309,0.79933,0.99857,0.99875176,0.99875176,0.99875176,0.9992867,0.9996136
APFD_3_4,0.59029,0.94511,0.95161,0.82361,0.85236,0.92278,0.97529,0.88126,0.99135,0.99549615,0.99549615,0.99561657,0.9958333,0.995568395
median,0.550425,0.93752,0.93947,0.80646,0.810095,0.976975,0.971185,0.90161,0.994745,0.997385698,0.99737359,0.997485078,0.99712613,0.996412475
