fileName,NOP,TMP,TCM,GAP,ARP,FPP,TCM-QS,MTK,MTK-QS,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
APFD_1_2,0.89679,0.99771,0.99771,0.9432,0.96422,0.99308,0.99771,0.99656,0.99656,0.9977064,0.9977064,0.99732417,0.9965596,0.9954128
APFD_1_3,0.88714,0.99636,0.98847,0.96871,0.97421,0.99308,0.99515,0.99697,0.99697,0.99696606,0.99696606,0.99696606,0.9963592,0.9951457
APFD_1_4,0.88532,0.99636,0.98786,0.95394,0.96681,0.99308,0.99454,0.99333,0.99333,0.9951457,0.9951457,0.9951457,0.9951457,0.9951457
APFD_2_3,0.8914,0.99609,0.99609,0.98664,0.98488,0.99308,0.99609,0.9985,0.9985,0.99909747,0.99909747,0.99909747,0.99909747,0.99909747
APFD_2_4,0.87274,0.99639,0.99684,0.97554,0.9787,0.97338,0.99368,0.99865,0.99865,0.9986462,0.9986462,0.9986462,0.9986462,0.9986462
APFD_3_4,0.86559,0.98946,0.99285,0.97807,0.97612,0.99209,0.99285,0.99209,0.99586,0.99811745,0.99811745,0.99811745,0.99811745,0.9973644
median,0.88623,0.99636,0.99447,0.972125,0.975165,0.99308,0.994845,0.996765,0.996765,0.997911925,0.997911925,0.99772081,0.997338525,0.9963886
,,,,,,,,,,,,,,worse
,,,,,,,,,,,,,,mtk
,,,,,,,,,,,,,,mtk-qs
