fileName,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
APFD_1_2,0.9607843,0.9607843,0.9607843,0.9607843,0.9607843
APFD_1_3,0.9285714,0.9285714,0.9285714,0.9285714,0.93265307
APFD_1_7,0.8921053,0.8921053,0.8921053,0.8921053,0.8921053
APFD_1_8,0.8710526,0.8710526,0.8710526,0.8710526,0.8710526
APFD_2_3,0.8382353,0.8382353,0.8382353,0.8480392,0.8480392
APFD_2_7,0.92249995,0.92249995,0.92249995,0.92249995,0.92249995
APFD_2_8,0.84749997,0.84749997,0.84749997,0.84749997,0.8525
APFD_3_7,0.9444445,0.9444445,0.9444445,0.9444445,0.9444445
APFD_3_8,0.8511112,0.8511112,0.8511112,0.8511112,0.8511112
APFD_7_8,0.93439716,0.93439716,0.93439716,0.93439716,0.9379433
