fileName,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
APFD_1_2,0.9967043250000001,0.9967043250000001,0.99677205,0.9969075,0.996591435
APFD_1_5,0.9937543200000001,0.99380622,0.99377162,0.9937081999999999,0.99332182
APFD_1_6,0.98427182,0.9843889,0.98461135,0.9846406,0.984664
APFD_1_7,0.9864944499999999,0.98654755,0.986653725,0.9870252500000001,0.9866006
APFD_1_8,0.982661,0.9827848299999999,0.9829913,0.983864125,0.984619
APFD_2_5,0.9979873,0.9979873,0.998072,0.9980932,0.9979873
APFD_2_6,0.98928267,0.98928267,0.9893471,0.9893471,0.98908935
APFD_2_7,0.9883867,0.9883867,0.9884299,0.988019035,0.9875216
APFD_2_8,0.9888846600000001,0.9888846600000001,0.98903126,0.9891616,0.98846655
APFD_5_6,0.9933668,0.9933668,0.993443925,0.9938103,0.99396455
APFD_5_7,0.991512575,0.991512575,0.9916099,0.991629375,0.99145415
APFD_5_8,0.98987688,0.98987688,0.98999411,0.99063903,0.99042407
APFD_6_7,0.9989473,0.9989473,0.9989473,0.9990909,0.99923444
APFD_6_8,0.9977893,0.9977893,0.9977701,0.9980969,0.9984814
APFD_7_8,0.99780214,0.99780214,0.99786407,0.9979105,0.99854505
