fileName,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
PTL_1_2,0.0045871558,0.0045871558,0.006880734,0.006880734,0.0091743115
PTL_1_3,0.0072815535,0.0072815535,0.0072815535,0.009708738,0.014563107
PTL_1_4,0.014563107,0.014563107,0.014563107,0.014563107,0.014563107
PTL_2_3,0.0018050541,0.0018050541,0.0018050541,0.0018050541,0.0018050541
PTL_2_4,0.0036101083,0.0036101083,0.0036101083,0.0036101083,0.0036101083
PTL_3_4,0.006024096,0.006024096,0.006024096,0.006024096,0.009036144
