fileName,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
PTL_1_2,0.013769751,0.013769751,0.013544018,0.012866817,0.012866817
PTL_1_5,0.012918108,0.012687428,0.012572088,0.012456748,0.013148789
PTL_1_6,0.042847108,0.042261766,0.041208148,0.040505737,0.0387497085
PTL_1_7,0.030313753,0.029959897,0.02913423,0.026067469,0.024416135999999998
PTL_1_8,0.043996224,0.04364237,0.042934656,0.041755132,0.040339705
PTL_2_5,0.0044491524,0.0044491524,0.004131355999999999,0.0038135594,0.004025424
PTL_2_6,0.022229382,0.022229382,0.021907216,0.02169244,0.021262886
PTL_2_7,0.02616782,0.02616782,0.02616782,0.0269247405,0.026492215
PTL_2_8,0.027150304,0.027150304,0.026498698,0.026281495,0.025412684
PTL_5_6,0.012340918,0.012340918,0.011955264,0.011762437,0.011762437
PTL_5_7,0.01868795,0.01868795,0.018298618,0.019077282,0.01868795
PTL_5_8,0.021692397,0.021692397,0.021692397,0.021106116,0.021106116
PTL_6_7,0.0017224881,0.0017224881,0.00181818185,0.0017224881,0.0017224881
PTL_6_8,0.004036909,0.004036909,0.00394079205,0.0044213766,0.00461361
PTL_7_8,0.004086181,0.004086181,0.004086181,0.0037147102,0.0033432392
