fileName,FPDT-TCP-C2FP,FPDT-TCP-ITF,FPDT-TCP-QS,FPDT-TCP
APFD_1_2,0.9068628,0.9607843,0.9607843,0.9607843
APFD_1_3,0.8877551,0.9285714,0.90408164,0.9285714
APFD_1_7,0.88684213,0.89736843,0.8657895,0.8921053
APFD_1_8,0.8552632,0.8763158,0.83947366,0.8710526
APFD_2_3,0.877451,0.8382353,0.8284314,0.8480392
APFD_2_7,0.8975,0.92249995,0.90749997,0.92249995
APFD_2_8,0.8025,0.84749997,0.84749997,0.84749997
APFD_3_7,0.9277778,0.95000005,0.9444445,0.9444445
APFD_3_8,0.8155556,0.8511112,0.8466667,0.8511112
APFD_7_8,0.8067376,0.9308511,0.93439716,0.93439716
