fileName,FPDT-TCP(CoCo),FPDT-TCP(CoCo+1)
TTL_1_2,0.014787454,0.014787454
TTL_1_3,0.031914942,0.031914942
TTL_1_4,0.034042604,0.034042604
TTL_2_3,0.002141334,0.002141334
TTL_2_4,0.005353337,0.005353337
TTL_3_4,0.008503415,0.008503415
