fileName,FPDT-TCP(CoCo),FPDT-TCP(CoCo+1)
PTL_1_2,0.012866817,0.012866817
PTL_1_5,0.012456748,0.012456748
PTL_1_6,0.040505737,0.040505737
PTL_1_7,0.026067469,0.026067469
PTL_1_8,0.041755132,0.041755132
PTL_2_5,0.0038135594,0.0038135594
PTL_2_6,0.02169244,0.02169244
PTL_2_7,0.0269247405,0.0269247405
PTL_2_8,0.026281495,0.026281495
PTL_5_6,0.011762437,0.011762437
PTL_5_7,0.019077282,0.019077282
PTL_5_8,0.021106116,0.021106116
PTL_6_7,0.0017224881,0.0017224881
PTL_6_8,0.0044213766,0.0044213766
PTL_7_8,0.0037147102,0.0037147102
