fileName,FPDT-TCP(CoCo),FPDT-TCP(CoCo+1)
PTF_1_2,0.00022573363,0.00022573363
PTF_1_5,0.00023068051,0.00023068051
PTF_1_6,0.0002341372,0.0002341372
PTF_1_7,0.00023590469,0.00023590469
PTF_1_8,0.00023590469,0.00023590469
PTF_2_5,0.0002118644,0.0002118644
PTF_2_6,0.0021477663,0.0021477663
PTF_2_7,0.0010813149,0.0010813149
PTF_2_8,0.0006516073,0.0006516073
PTF_5_6,0.0013497879,0.0013497879
PTF_5_7,0.00097333075,0.00097333075
PTF_5_8,0.00019542701,0.00019542701
PTF_6_7,0.00019138756,0.00019138756
PTF_6_8,0.00019223375,0.00019223375
PTF_7_8,0.000650074255,0.000650074255
