fileName,FPDT-TCP(CoCo),FPDT-TCP(CoCo+1)
TTL_1_2,0.015285072,0.015285072
TTL_1_5,0.0141603415,0.0141603415
TTL_1_6,0.0505676365,0.0505676365
TTL_1_7,0.030806728999999998,0.030806728999999998
TTL_1_8,0.052680870500000004,0.052680870500000004
TTL_2_5,0.10136677,0.10136677
TTL_2_6,0.12442925,0.12442925
TTL_2_7,0.12471398,0.12471398
TTL_2_8,0.12471399,0.12471399
TTL_5_6,0.020368824,0.020368824
TTL_5_7,0.030477492,0.030477492
TTL_5_8,0.0328985425,0.0328985425
TTL_6_7,0.001940064,0.001940064
TTL_6_8,0.004577166,0.004577166
TTL_7_8,0.0,0.0
