paired methods,original p,adjusted p (Holm-Bonferroni),Cliff's delta,effect size (delta),Wilcoxon r, effect size (r)
FPDT-TCP vs NOP,1.1102E-13,7.7716E-13,1,large,-0.868966076,large
FPDT-TCP vs TMP,2.4714E-13,9.8854E-13,0.916666667,large,-0.862393123,large
FPDT-TCP vs TCM,1.4233E-13,8.5398E-13,0.945205479,large,-0.865105434,large
FPDT-TCP vs GAP,1.1102E-13,7.7716E-13,1,large,-0.868966076,large
FPDT-TCP vs ARP,1.1102E-13,7.7716E-13,1,large,-0.868966076,large
FPDT-TCP vs FPP,2.3699E-07,2.3699E-07,0.506849315,large,-0.604512127,large
FPDT-TCP vs TCM-QS,2.1472E-13,9.8854E-13,0.917808219,large,-0.858671032,large
FPDT-TCP vs MTK,3.7992E-13,1.1398E-12,0.971428571,large,-0.867692051,large
FPDT-TCP vs MTK-QS,2.1582E-11,4.3165E-11,0.857142857,large,-0.799843499,large
