fileName,NOP,TMP,TCM,GAP,ARP,FPP,TCM-QS,MTK,MTK-QS,FPDT-TCP
APFD_1_2,0.896789,0.9977064,0.9977064,0.9431957,0.9642202,0.9930806,0.9977064,0.9965596,0.9965596,0.9965596
APFD_1_3,0.8871359,0.9963592,0.9884709,0.9687096,0.97421116,0.9930806,0.9951457,0.99696606,0.99696606,0.9963592
APFD_1_4,0.88531554,0.9963592,0.9878641,0.9539442,0.96680826,0.9930806,0.99453884,0.99332523,0.99332523,0.9951457
APFD_2_3,0.8913959,0.99608904,0.99608904,0.9866426,0.98487765,0.9930806,0.99608904,0.9984958,0.9984958,0.99909747
APFD_2_4,0.8727437,0.9963899,0.99684113,0.97554153,0.97870034,0.97337544,0.9936823,0.9986462,0.9986462,0.9986462
APFD_3_4,0.8655873,0.9894578,0.99284637,0.9780748,0.97611696,0.9920933,0.99284637,0.9920933,0.99585843,0.99811745
