fileName,NOP,TMP,TCM,GAP,ARP,FPP,TCM-QS,MTK,MTK-QS,FPDT-TCP,FPDT-TCP-L4M4,FPDT-TCP-L5M4,FPDT-TCP-L6M4,FPDT-TCP-L7M4,FPDT-TCP-L8M4
TTL_1_2,0.11829964,0.009242163,0.009242163,0.0983982,0.068638445,0.08843548,0.009242162,0.018484324,0.01848432,0.014787454,0.009242158,0.009242158,0.014787454,0.014787454,0.016635885
TTL_1_3,0.10851079,0.014893643,0.06808522,0.09276607,0.06617029,0.08843548,0.031914942,0.025531959,0.025531957,0.031914942,0.025531953,0.025531953,0.025531953,0.031914942,0.034042604
TTL_1_4,0.11702144,0.014893643,0.070212886,0.12709238,0.07808521,0.08843548,0.027659624,0.04255326,0.042553257,0.034042604,0.034042604,0.034042604,0.034042604,0.034042604,0.034042604
TTL_2_3,0.12848005,0.11134932,0.11134932,0.02847973,0.033654623,0.12205599,0.11134937,0.005353332,0.005353335,0.002141334,0.002141334,0.002141334,0.002141334,0.002141334,0.002141334
TTL_2_4,0.32869482,0.11134932,0.11134933,0.06027853,0.06777321,0.2034267,0.117773385,0.005353333,0.005353336,0.005353337,0.005353337,0.005353337,0.005353337,0.005353337,0.005353337
TTL_3_4,0.36139518,0.11734702,0.103741564,0.06683683,0.08446723,0.08843548,0.105867405,0.102040894,0.089285783,0.008503415,0.008503414,0.008503414,0.008503414,0.008503415,0.011904782
median,0.123389845,0.063121482,0.086977225,0.07980145,0.068205828,0.08843548,0.068891174,0.022008142,0.022008139,0.011645435,0.008872786,0.008872786,0.011645434,0.011645435,0.014270334
